level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,1179,533,219,56,95.10318,Brand
5,1,1,1,1,2,1433,533,221,56,96.266983,Name
5,1,2,1,1,1,1178,607,135,17,95.653694,TAGLINE
5,1,2,1,1,2,1333,607,100,17,96.385208,SPACE
5,1,2,1,1,3,1454,607,79,17,95.956093,HERE
5,1,3,1,1,1,1035,857,234,45,95.750542,Invoice
5,1,3,1,1,2,1297,860,85,42,96.789307,to:
5,1,4,1,1,1,2276,902,260,42,90.351669,Invoice#
5,1,4,1,1,2,2647,912,130,32,95.96019,52148
5,1,4,1,2,1,1035,938,197,42,95.085419,Dwyane
5,1,4,1,2,2,1253,936,130,35,96.121101,Clark
5,1,4,1,3,1,1031,998,39,22,96.427696,24
5,1,4,1,3,2,1086,998,131,28,96.035431,Dummy
5,1,4,1,3,3,1231,998,102,22,96.204948,Street
5,1,4,1,3,4,1347,998,84,26,96.575737,"Area,"
5,1,4,1,3,5,2277,976,155,52,96.749603,Date:
5,1,4,1,3,8,2757,987,55,31,90.895348,02
5,1,4,1,3,9,2833,983,23,40,90.895348,/
5,1,4,1,3,10,2877,987,117,31,96.093681,2020
5,1,5,1,1,1,1034,1033,153,27,96.223366,"Location,"
5,1,5,1,1,2,1204,1034,103,22,96.329529,Lorem
5,1,5,1,1,3,1325,1034,111,28,94.210335,"Ipsum,"
5,1,5,1,2,1,1032,1070,154,22,70.589546,570xx59x
5,1,6,1,1,1,824,356,2352,838,95.0, 
5,1,7,1,1,1,1067,1284,84,38,87.013786,SL.
5,1,7,1,1,2,1229,1285,130,37,87.013786,Item
5,1,7,1,1,3,1391,1281,349,51,96.655487,Description
5,1,7,1,1,4,2202,1281,147,41,96.725464,Price
5,1,7,1,1,5,2535,1277,117,59,96.127556,Qty.
5,1,7,1,1,6,2773,1282,145,40,96.153442,Total
5,1,7,1,2,1,1083,1520,12,32,82.804398,1
5,1,7,1,2,2,1229,1520,156,32,96.410278,Lorem
5,1,7,1,2,3,1413,1520,152,41,68.270874,Ipsum
5,1,7,1,2,4,1593,1518,136,34,96.547035,Dolor
5,1,7,1,2,5,2207,1515,169,43,96.242615,$50.00
5,1,7,1,2,6,2586,1520,12,32,81.523666,1
5,1,7,1,2,7,2784,1515,168,43,96.779221,$50.00
5,1,7,1,3,1,1084,1756,24,33,96.985664,2
5,1,7,1,3,2,1229,1755,336,43,95.552292,Pellentesque
5,1,7,1,3,3,1590,1754,39,35,96.270203,id
5,1,7,1,3,4,1657,1764,157,34,95.908882,neque
5,1,7,1,3,5,1840,1754,137,44,95.908882,ligula
5,1,7,1,3,6,2207,1751,169,43,96.743309,$20.00
5,1,7,1,3,7,2586,1757,24,32,96.407372,3
5,1,7,1,3,8,2784,1751,170,43,96.389519,$60.00
5,1,7,1,4,1,1083,1998,24,32,94.367996,3
5,1,7,1,4,2,1229,1996,236,34,88.705986,Interdum
5,1,7,1,4,3,1490,2000,47,30,96.779945,et
5,1,7,1,4,4,1562,1996,276,34,92.873299,malesuada
5,1,7,1,4,5,1862,1996,154,34,92.1726,fames
5,1,7,1,4,6,2207,1992,159,43,96.385857,$10.00
5,1,7,1,4,7,2587,1997,24,33,97.006317,2
5,1,7,1,4,8,2784,1992,168,43,96.312149,$20.00
5,1,7,1,5,1,1085,2239,28,32,96.800095,4
5,1,7,1,5,2,1224,2237,219,35,96.405434,Vivamus
5,1,7,1,5,3,1463,2237,218,43,96.178497,volutpat
5,1,7,1,5,4,1702,2237,220,35,96.359909,faucibus
5,1,7,1,5,5,2207,2234,171,43,96.408157,$90.00
5,1,7,1,5,6,2586,2239,12,32,81.776512,1
5,1,7,1,5,7,2784,2234,170,43,96.768951,$90.00
5,1,7,1,6,1,1013,2719,145,33,96.051857,Thank
5,1,7,1,6,2,1177,2728,84,33,96.95549,you
5,1,7,1,6,3,1284,2719,67,33,96.83403,for
5,1,7,1,6,4,1370,2728,107,33,96.590912,your
5,1,7,1,6,5,1500,2719,209,33,96.039444,business
5,1,7,1,6,6,2385,2716,87,32,96.560745,Sub
5,1,7,1,6,7,2493,2716,135,32,96.392845,Total:
